srlkk,metric,sentence
"{'verbs': [{'verb': 'енгізілді.', 'description': {'V': 'енгізілді.', 'Arg(место)': 'елде'}, 'tags': ['O', 'O', 'O', 'O', 'Arg(место)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V']}], 'words': ['Биылғы', 'жылдың', 'басында', 'бұл', 'елде', 'тек', 'белгілі', 'бір', 'қызмет', 'орны', 'немесе', 'компанияда', 'ғана', 'жинақтамай,', 'түрлі', 'жұмыс', 'орындарында', 'оқу', 'құқығын', 'жинауға', 'мүмкіндік', 'беретін', 'тасымалды', 'жеке', 'қызмет', 'есебі', 'енгізілді.'], 'metric': 1.0}",0,"Биылғы жылдың басында бұл елде тек белгілі бір қызмет орны немесе компанияда ғана жинақтамай, түрлі жұмыс орындарында оқу құқығын жинауға мүмкіндік беретін тасымалды жеке қызмет есебі енгізілді."
"{'verbs': [{'verb': '', 'description': {'Arg(агенс)': 'әкімшілігі', 'Arg(эталон)': 'реформалар'}, 'tags': ['O', 'O', 'O', 'Arg(агенс)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(эталон)', 'O', 'O']}], 'words': ['Президент', 'Эммануэль', 'Макрон', 'әкімшілігі', 'еңбек', 'нарығының', 'икемділігін', 'арттыру', 'үшін', 'Францияның', 'қатаң', 'еңбек', 'қорғау', 'саясатында', 'реформалар', 'жүргізіп', 'жатыр.'], 'metric': 0.5}",0,Президент Эммануэль Макрон әкімшілігі еңбек нарығының икемділігін арттыру үшін Францияның қатаң еңбек қорғау саясатында реформалар жүргізіп жатыр.
"{'verbs': [{'verb': 'жеңілдетеді.', 'description': {'V': 'жеңілдетеді.', 'Arg(тема)': 'сақтап', 'Arg(пациенс)': 'бейімделуін'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(тема)', 'O', 'O', 'V', 'Arg(пациенс)', 'V']}], 'words': ['Осындай', 'бастамаларды', 'бір', 'уақытта', 'жүргізу', 'Францияға', 'реформалар', 'синергиясын', 'сақтап', 'және', 'қызметкерлердің', 'де', 'бейімделуін', 'жеңілдетеді.'], 'metric': 0.75}",0,Осындай бастамаларды бір уақытта жүргізу Францияға реформалар синергиясын сақтап және қызметкерлердің де бейімделуін жеңілдетеді.
,0,"Технологиялық өзгерістер, бұрынғыдай, түрлі елдерде еңбек нарықтарына елеулі қиындықтар тудыртады."
"{'verbs': [{'verb': 'аламыз', 'description': {'V': 'аламыз', 'Arg(субъект ментального состояния)': 'осы', 'Arg(агенс)': 'осы', 'Arg(пациенс)': 'шеше'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(субъект ментального состояния)', 'O', 'Arg(пациенс)', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Бірақ,', 'ақылға', 'қонымды,', 'болашаққа', 'бағытталған', 'саясатпен,', 'біз', 'осы', 'мәселелерді', 'шеше', 'аламыз', 'және', 'жұмыстың', 'болашағы', 'жақсы', 'жұмыс', 'орындарының', 'құрылуы', 'болуын', 'да', 'қамтамасыз', 'етеміз.'], 'metric': 1.0}",0,"Бірақ, ақылға қонымды, болашаққа бағытталған саясатпен, біз осы мәселелерді шеше аламыз және жұмыстың болашағы жақсы жұмыс орындарының құрылуы болуын да қамтамасыз етеміз."
,0,Микробқа қарсы препараттарға төзімділікпен күресте Volvo мысалы
"{'verbs': [{'verb': 'көрсетуі', 'description': {'V': 'көрсетуі'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O']}], 'words': ['Және', 'жеке', 'сектор', 'да', 'осы', 'майданда', 'көшбасшылықты', 'көрсетуі', 'керек.'], 'metric': 0.5}",0,Және жеке сектор да осы майданда көшбасшылықты көрсетуі керек.
"{'verbs': [{'verb': '', 'description': {'Arg(пациенс)': 'антибиотиктер'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(пациенс)', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Азық-түлік', 'өндірушілері', 'мен', 'бөлшек', 'саудагерлері', 'Девондағы', 'бекон', 'өндірушісінің', 'ізін', 'жалғастыруы', 'керек,', 'ол', 'жақында', 'ғана', 'антибиотиктер', 'салынбаған', 'шошқаларды', 'қолдануға', 'бел', 'буды.'], 'metric': 0.25}",0,"Азық-түлік өндірушілері мен бөлшек саудагерлері Девондағы бекон өндірушісінің ізін жалғастыруы керек, ол жақында ғана антибиотиктер салынбаған шошқаларды қолдануға бел буды."
,0,"Walmart, Asda, Tesco және басқалар солай істей ме екен?"
,0,AMR-ға қарсы соғысты жеңу үшін біз антибиотиктерді бәріне тәттілер сияқты үлестіруді тоқтатуымыз керек.
,0,Осы мақсатта бізге антибиотиктің тағайындалуы және қолданысын өзгерту үшін жаңа технологиялар мен басқа да шаралар қажет.
"{'verbs': [{'verb': 'талап', 'description': {'V': 'талап', 'Arg(место)': 'AMR-дің'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O']}], 'words': ['Мысалға,', 'мен', 'төрағалық', 'еткен', 'AMR-дің', 'шолуында', 'біз', 'дамыған', 'елдерде', '2020', 'жылға', 'қарай', 'антибиотиктер', 'тағайындалғанға', 'дейін', 'белгілі', 'бір', 'диагностикалық', 'зерттеулер', 'жүргізуін', 'талап', 'еттік.'], 'metric': 0.5}",0,"Мысалға, мен төрағалық еткен AMR-дің шолуында біз дамыған елдерде 2020 жылға қарай антибиотиктер тағайындалғанға дейін белгілі бір диагностикалық зерттеулер жүргізуін талап еттік."
"{'verbs': [{'verb': '', 'description': {'Arg(пациенс)': 'әлемдік', 'Arg(статус)': 'ретінде'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(пациенс)', 'O', 'Arg(статус)', 'O', 'O']}], 'words': ['Осындай', 'саясатты', 'қабылдау', 'арқылы', 'кез-келген', 'дамыған', 'мемлекет', 'қазір', 'өзін', 'әлемдік', 'көшбасшы', 'ретінде', 'қалыптастыра', 'алады.'], 'metric': 0.67}",0,Осындай саясатты қабылдау арқылы кез-келген дамыған мемлекет қазір өзін әлемдік көшбасшы ретінде қалыптастыра алады.
"{'verbs': [{'verb': 'шектеу', 'description': {'V': 'шектеу', 'Arg(агенс)': 'компаниялар'}, 'tags': ['O', 'O', 'O', 'O', 'Arg(агенс)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(агенс)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Осылайша,', 'осындай', 'технологияларды', 'қолдайтын', 'компаниялар', 'қажетті', 'диагностикалық', 'технологияны', 'қолжетімді', 'бағамен', 'сата', 'алады', 'немесе', 'фармацевтикалық', 'компаниялар', 'жаңа', 'грамтеріс', 'антибиотиктерге', 'толықтыру', 'ретінде', 'қолдана', 'отырып,', 'олардың', 'шектен', 'тыс', 'қолданысын', 'шектеу', 'үшін', 'осындай', 'препараттарды', 'жоғары', 'бағамен', 'сатуы', 'керек.'], 'metric': 0.5}",0,"Осылайша, осындай технологияларды қолдайтын компаниялар қажетті диагностикалық технологияны қолжетімді бағамен сата алады немесе фармацевтикалық компаниялар жаңа грамтеріс антибиотиктерге толықтыру ретінде қолдана отырып, олардың шектен тыс қолданысын шектеу үшін осындай препараттарды жоғары бағамен сатуы керек."
,0,Қандай фармацевтикалық компания өз саласының Volvo немесе Tesla болады?
"{'verbs': [{'verb': 'босап,', 'description': {'V': 'босап,', 'Arg(агенс)': 'ол', 'Arg(причина)': 'көйлектерінен'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(агенс)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(причина)', 'V', 'O', 'O', 'O']}], 'words': ['Егер', 'бір', 'компания', 'ДДҰ-ның', 'шұғыл', 'басымдықтар', 'ретінде', 'белгілеген', 'антибиотиктерге', 'төзімді', 'патогендерді', 'жеңу', 'үшін', 'жаңа', 'препараттарды', 'әзірлеуді', 'қолына', 'алса,', 'онда', 'ол', 'өздерінің', 'тоқсан', 'сайын', 'пайдасы', 'туралы', 'ғана', 'ойлайтын', 'компанияларды', 'көнігу', 'көйлектерінен', 'босап,', 'өзгерулеріне', 'мәжбүр', 'етеді.'], 'metric': 0.75}",0,"Егер бір компания ДДҰ-ның шұғыл басымдықтар ретінде белгілеген антибиотиктерге төзімді патогендерді жеңу үшін жаңа препараттарды әзірлеуді қолына алса, онда ол өздерінің тоқсан сайын пайдасы туралы ғана ойлайтын компанияларды көнігу көйлектерінен босап, өзгерулеріне мәжбүр етеді."
"{'verbs': [{'verb': 'алатын', 'description': {'V': 'алатын', 'Arg(говорящий)': 'біз', 'Arg(результат)': 'ұсындық.'}, 'tags': ['O', 'O', 'O', 'Arg(говорящий)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'Arg(результат)']}], 'words': ['AMR', 'туралы', 'шолуда', 'біз', 'AMR', 'дағдарысын', 'бір', 'ұрпақ', 'өмірі', 'мерзімінде', 'шеше', 'алатын', '27', 'шараларды', 'ұсындық.'], 'metric': 0.5}",0,AMR туралы шолуда біз AMR дағдарысын бір ұрпақ өмірі мерзімінде шеше алатын 27 шараларды ұсындық.
"{'verbs': [{'verb': 'алу', 'description': {'V': 'алу', 'Arg(пациенс)': 'қайта'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(пациенс)', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Дегенмен,', 'осы', 'онжылдықта', 'АҚШ-тың', 'үш', 'фармацевтикалық', 'өндірушілері', 'өздерінің', 'акцияларын', 'қайта', 'сатып', 'алу', 'үшін', 'осы', 'шараларға', 'керек', 'мөлшерден', 'көбірек', 'қаражат', 'жұмсады.'], 'metric': 0.67}",0,"Дегенмен, осы онжылдықта АҚШ-тың үш фармацевтикалық өндірушілері өздерінің акцияларын қайта сатып алу үшін осы шараларға керек мөлшерден көбірек қаражат жұмсады."
,0,"Фармацевтикалық компаниялар негізінен бухгалтерлік істер басқарушылары, сосын ғана дәрілік препараттар өндірушілеріне айналды."
"{'verbs': [{'verb': 'өзгертуі', 'description': {'V': 'өзгертуі'}, 'tags': ['O', 'O', 'O', 'V', 'O']}], 'words': ['Біреу', 'бұл', 'модельді', 'өзгертуі', 'керек.'], 'metric': 0.5}",0,Біреу бұл модельді өзгертуі керек.
,0,"Шолу сондай-ақ инновацияларды ынталандыру үшін нарыққа кіруді қолдауға арналған сыйлықтарды ұсынды. Егер ірі фармацевтикалық өндірушілер антибиотиктерді зерттеуге маңызды инвестициялар жасайтын болса, олар жаңа дәрі-дәрмектерді дамытудағы қазіргі жағдайды айтарлықтай жақсарта алар еді."
"{'verbs': [{'verb': 'жұмыс', 'description': {'V': 'жұмыс', 'Arg(место)': 'мақсатта'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(место)', 'V', 'O', 'O', 'O', 'O', 'O']}], 'words': ['G20-ның', 'ұсынған', 'Ғылыми-зерттеу', 'және', 'тәжірибелік-конструкторлық', 'ынтымақтастық', 'орталығы', 'осы', 'мақсатта', 'жұмыс', 'жасауға', 'көмектеседі', 'деген', 'үміт', 'бар.'], 'metric': 0.67}",0,G20-ның ұсынған Ғылыми-зерттеу және тәжірибелік-конструкторлық ынтымақтастық орталығы осы мақсатта жұмыс жасауға көмектеседі деген үміт бар.
,0,Өнеркәсіп біріккен кезде ғана AMR бензин мен дизельді автокөлік жолын қуа алады.
,0,"МЕДЕЛЛИН – O Freunde, nicht diese Töne! (Оу, достарым!"
"{'verbs': [{'verb': 'тұру', 'description': {'V': 'тұру'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O']}], 'words': ['Оның', 'түп', 'негізі', 'Кох', 'өнеркәсібі,', 'Continental', 'Resources,', 'Peabody', 'Energy,', 'ExxonMobil,', 'Chevron', 'және', 'басқа', 'да', 'америкалық', 'компаниялардың', 'мұнай', 'мен', 'газ', 'өндіруден,', 'теңіздің', 'терең', 'табанын', 'қазудан,', 'көмір', 'өндіруден', 'түсетін', 'пайданы', 'еселеп', 'арттыру,', 'ал', 'климаттың', 'бұзылуы', 'тақырыбын', 'тоқтата', 'тұру', 'деген', 'мүдделерімен', 'сәйкес', 'келеді.'], 'metric': 0.5}",0,"Оның түп негізі Кох өнеркәсібі, Continental Resources, Peabody Energy, ExxonMobil, Chevron және басқа да америкалық компаниялардың мұнай мен газ өндіруден, теңіздің терең табанын қазудан, көмір өндіруден түсетін пайданы еселеп арттыру, ал климаттың бұзылуы тақырыбын тоқтата тұру деген мүдделерімен сәйкес келеді."
"{'verbs': [{'verb': '', 'description': {'Arg(агенс)': 'компаниялар', 'Arg(конечная точка)': 'сенат', 'Arg(говорящий)': 'олар'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'Arg(агенс)', 'O', 'O', 'O', 'Arg(конечная точка)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(говорящий)', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Жерасты', 'қуат', 'көздеріне', 'сүйенетін', 'бұл', 'компаниялар', 'Республикалық', 'партия', 'атынан', 'сенат', 'пен', 'өкілдер', 'палатасына', 'сайлауға', 'түскен', 'кандидаттардың', 'сайлау', 'науқандарын', 'қаржыландырды,', 'ал', 'олар', 'қазір', 'Трампты', 'Париж', 'келісімінен', 'шығуға', 'үгіттеп', 'жатыр.'], 'metric': 0.6}",0,"Жерасты қуат көздеріне сүйенетін бұл компаниялар Республикалық партия атынан сенат пен өкілдер палатасына сайлауға түскен кандидаттардың сайлау науқандарын қаржыландырды, ал олар қазір Трампты Париж келісімінен шығуға үгіттеп жатыр."
,0,"Осылар және бұл компаниялардан ақша алатын басқа да саясаткерлер басқа әлемді және келер буынды былай қойғанда, америкалықтардың, тіпті өз отбасыларының әл-ауқатын құрбандыққа шалуға әзір."
,0,Барып тұрған сараңдық.
,0,"Сондықтан G20 саммитінің қарсаңында басқа елдер АҚШ-тың ізінен еріп, өз мүдделерін ортақ игіліктен жоғары қоя бастай ма, жоқ па? деген нақты сұрақ тұрды."
,0,Түрлі қаңқу сөз тарады.
"{'verbs': [{'verb': '', 'description': {'Arg(пациенс)': 'әлсірету', 'Arg(агенс)': 'не'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(агенс)', 'Arg(пациенс)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['New', 'York', 'Times', 'газеті', 'Париж', 'келісімін', 'құрдымға', 'кетіру', 'не', 'әлсірету', 'үшін', 'Трамп', 'Ресейді,', 'Сауд', 'Арабиясын,', 'Түркияны,', 'тіпті', 'Индонезияны', 'көндіріп,', 'мұнайлы', 'елдер', 'коалициясын', 'құрады', 'деп', 'жазды.'], 'metric': 0.67}",0,"New York Times газеті Париж келісімін құрдымға кетіру не әлсірету үшін Трамп Ресейді, Сауд Арабиясын, Түркияны, тіпті Индонезияны көндіріп, мұнайлы елдер коалициясын құрады деп жазды."
,0,Сол себептен Гамбургте әлемнің ынтымақтастығы бәске түсті.
,0,"1992 жылғы Риода өткен Дүниежүзілік саммиттен кейін Париж келісіміне келгенге дейін бүкіл бір буынның саналы ғұмыры өтті, ұзақ уақыт, үлкен қажыр-қайрат жұмсалды. Париж келісімі 2015 жылдың желтоқсан айында БҰҰ-ға мүше 193 елдің бірауыздан мақұлдауымен қабылданды."
,0,Саяси итаршыларды жетегіне алған АҚШ-тың мұнай лоббиі әлемді қайтадан кері кетіре ала ма?
,0,Меркель тағы да даналық пен сабырлылық танытты.
,0,"Ол байбалам салған да, дауыс көтерген де, ештеңені талап еткен де жоқ."
,0,"Бірақ ол өзінің, Германияның, және Еуропаның ұстанымын анық көрсетті."
"{'verbs': [{'verb': '', 'description': {'Arg(говорящий)': 'Еуропаның', 'Arg(ситуация в фокусе)': 'арқа', 'Arg(тема)': 'бұдан'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(говорящий)', 'Arg(тема)', 'O', 'O', 'Arg(ситуация в фокусе)', 'O', 'O', 'O']}], 'words': ['Мамырдың', 'соңында', 'Италияда', 'өткен', 'G7', 'саммитінен', 'соң', 'ол', 'Еуропаның', 'бұдан', 'әрі', 'АҚШ-қа', 'арқа', 'сүйей', 'алмайтынын', 'айтқан.'], 'metric': 0.6}",0,Мамырдың соңында Италияда өткен G7 саммитінен соң ол Еуропаның бұдан әрі АҚШ-қа арқа сүйей алмайтынын айтқан.
,0,Ал сахна сыртында Меркель Германияның кәсіби деңгейі жоғары дипломатиялық корпусымен бірге G20 саммитінде Америкадан басқалардың арасында консенсусқа қол жеткізуге ерекше дайындық жасады.
"{'verbs': [{'verb': '', 'description': {'Arg(говорящий)': 'соңғы', 'Arg(предмет высказывания)': 'талқылау', 'Arg(эталон)': 'концертке', 'Arg(конечная точка)': 'жұма'}, 'tags': ['O', 'O', 'O', 'Arg(конечная точка)', 'O', 'Arg(эталон)', 'O', 'O', 'O', 'Arg(говорящий)', 'O', 'Arg(предмет высказывания)', 'O', 'O', 'O']}], 'words': ['Үлкен', 'жиырмалық', 'басшылары', 'жұма', 'күні', 'концертке', 'кеткенде', 'олардың', 'дипломаттары', 'соңғы', 'мәтінді', 'талқылау', 'үшін', 'қалып', 'қойды.'], 'metric': 0.67}",0,Үлкен жиырмалық басшылары жұма күні концертке кеткенде олардың дипломаттары соңғы мәтінді талқылау үшін қалып қойды.
"{'verbs': [{'verb': '', 'description': {'Arg(сфера)': 'Трамптың'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'Arg(сфера)', 'O', 'O', 'O']}], 'words': ['Ресей,', 'Сауд', 'Арабиясы', 'және', 'басқалар', 'Трамптың', 'ойынын', 'ойнай', 'ма?'], 'metric': 0.33}",0,"Ресей, Сауд Арабиясы және басқалар Трамптың ойынын ойнай ма?"
,0,Коммюникенің соңғы мәтіні жарияланған кезде дилпоматтар мен климатты қорғаушы белсенділер жеңілдеп сала берді. Үлкен жиырмаға кіретін басқа елдердің барлығы АҚШ-тың айла-шарғысына қарсылық білдірді.
,0,"Коммюнике қарапайым да нақты, климат өзгерісі жөнінен үміт күттірерлік болып шыққан."
"{'verbs': [{'verb': 'әрекет', 'description': {'V': 'әрекет', 'Arg(субъект ментального состояния)': 'мүшелері', 'Arg(субъект поведения)': 'Біз', 'Arg(эталон)': 'келісімін', 'Arg(агенс)': 'Біз'}, 'tags': ['O', 'O', 'O', 'Arg(субъект ментального состояния)', 'O', 'Arg(эталон)', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(субъект поведения)', 'O', 'Arg(эталон)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Үлкен', 'жиырмалықтың', 'басқа', 'мүшелері', 'Париж', 'келісімін', 'кері', 'қайтару', 'мүмкін', 'емес', 'деп', 'санайды...', 'Біз', 'Париж', 'келісімін', 'толық', 'сақтайтынымызды,', 'оның', 'толық', 'орындалуы', 'жолында', 'жедел', 'әрекет', 'ететімізді', 'тағы', 'да', 'шегелеп', 'айтамыз', 'делінген', 'бірлескен', 'коммюникеде.'], 'metric': 1.0}",0,"Үлкен жиырмалықтың басқа мүшелері Париж келісімін кері қайтару мүмкін емес деп санайды... Біз Париж келісімін толық сақтайтынымызды, оның толық орындалуы жолында жедел әрекет ететімізді тағы да шегелеп айтамыз делінген бірлескен коммюникеде."
"{'verbs': [{'verb': 'сөйлейтін', 'description': {'V': 'сөйлейтін'}, 'tags': ['O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Коммюникеде', 'екі', 'түрлі', 'сөйлейтін', 'Трамп', 'туралы', 'бір', 'абзац', 'бар.'], 'metric': 0.5}",0,Коммюникеде екі түрлі сөйлейтін Трамп туралы бір абзац бар.
"{'verbs': [{'verb': '', 'description': {'Arg(конечная точка)': 'тастайтын'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(конечная точка)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['АҚШ', 'экономикалық', 'өсімді', 'қолдап,', 'энергетикалық', 'қауіпсіздіктің', 'қажеттіліктерін', 'қамтамасыз', 'ете', 'отырып', 'табиғатқа', 'тастайтын', 'қалдықтарды', 'азайтуды', 'ерекше', 'қолдайды', 'және', 'өзге', 'елдердің', 'жер', 'астындағы', 'энергоресурстарды', 'бұрынғыдан', 'таза', 'әрі', 'тиімді', 'түрде', 'қолдануына', 'жәрдемдесу', 'және', 'қалпына', 'келетін,', 'таза', 'энергия', 'көздерін', 'пайдалануына', 'көмектесу', 'үшін', 'олармен', 'бірлесе', 'жұмыс', 'істейді.'], 'metric': 0.25}",0,"АҚШ экономикалық өсімді қолдап, энергетикалық қауіпсіздіктің қажеттіліктерін қамтамасыз ете отырып табиғатқа тастайтын қалдықтарды азайтуды ерекше қолдайды және өзге елдердің жер астындағы энергоресурстарды бұрынғыдан таза әрі тиімді түрде қолдануына жәрдемдесу және қалпына келетін, таза энергия көздерін пайдалануына көмектесу үшін олармен бірлесе жұмыс істейді."
,0,Мұндайда жасөспірімдер Не болса о болсын? демей ме?
,0,Әлемнің басқа бірнеше мәселесінде толық консенсусқа қол жетті.
,0,"Үлкен жиырмалық халықаралық сауда және инвестиция - өнімділікті, инновацияны арттыру, жұмыс орындарын көбейту және даму үшін басты қозғаушы күштер деген ортақ ұйғарымға келді."
"{'verbs': [{'verb': 'нығайтуға', 'description': {'V': 'нығайтуға', 'Arg(говорящий)': 'сенаттағы', 'Arg(содержание высказывания)': 'ниетті', 'Arg(место)': 'жүйесімен', 'Arg(пациенс)': 'жүйесін'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'Arg(место)', 'O', 'O', 'O', 'O', 'O', 'Arg(пациенс)', 'V', 'Arg(содержание высказывания)', 'O', 'O', 'O', 'O', 'O', 'Arg(говорящий)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(говорящий)', 'O', 'O']}, {'verb': '', 'description': {'Arg(говорящий)': 'Пол', 'Arg(цель)': 'Ұлттар'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(говорящий)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(цель)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['G20', 'басшыларының', 'барлығы', 'денсаулық', 'сақтау', 'жүйесімен', 'жұрттың', 'бәрін', 'қамтуға,', 'денсаулық', 'сақтау', 'жүйесін', 'нығайтуға', 'ниетті', 'екендіктерін', 'айтты', '(бұл', 'да', 'Трампқа,', 'сенаттағы', 'көпшілік', 'басшысы', 'Митч', 'Макконелге,', 'Өкілдер', 'палатасының', 'спикері', 'Пол', 'Райанға', 'ескерту', 'болды).', 'Олар', 'тұрақты', 'дамуға,', 'Біріккен', 'Ұлттар', 'Ұйымының', 'тұрақты', 'даму', 'мақсаттарына', 'адал', 'екендіктерін', 'тағы', 'да', 'қуаттады.'], 'metric': 0.7}",0,"G20 басшыларының барлығы денсаулық сақтау жүйесімен жұрттың бәрін қамтуға, денсаулық сақтау жүйесін нығайтуға ниетті екендіктерін айтты (бұл да Трампқа, сенаттағы көпшілік басшысы Митч Макконелге, Өкілдер палатасының спикері Пол Райанға ескерту болды). Олар тұрақты дамуға, Біріккен Ұлттар Ұйымының тұрақты даму мақсаттарына адал екендіктерін тағы да қуаттады."
"{'verbs': [{'verb': '', 'description': {'Arg(субъект поведения)': 'көрермен'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'Arg(субъект поведения)', 'O', 'O', 'Arg(субъект поведения)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Концерт', 'біткенде', 'Үлкен', 'жиырмалық', 'басшылары', 'мен', 'басқа', 'да', 'көрермен', 'аяқтарынан', 'тік', 'тұрып,', 'ұзақ', 'уақыт', 'қошаметпен', 'қол', 'соқты.'], 'metric': 0.33}",0,"Концерт біткенде Үлкен жиырмалық басшылары мен басқа да көрермен аяқтарынан тік тұрып, ұзақ уақыт қошаметпен қол соқты."
,0,"Сахнаға шақырылуға тиіс кейіпкерлер Бетховен, Кант және Меркель болғаны анық."
,0,G20-ның Ағат Жаһандануы
"{'verbs': [{'verb': 'қызықтысы', 'description': {'V': 'қызықтысы', 'Arg(признак)': 'жылдардағы'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(признак)', 'O', 'V', 'O', 'O', 'O']}], 'words': ['ГАМБУРГ', '–', 'Гамбургте', 'биылғы', 'G20', 'саммиті', 'соңғы', 'жылдардағы', 'ең', 'қызықтысы', 'болайын', 'деп', 'тұр.'], 'metric': 1.0}",0,ГАМБУРГ – Гамбургте биылғы G20 саммиті соңғы жылдардағы ең қызықтысы болайын деп тұр.
"{'verbs': [{'verb': 'жек', 'description': {'V': 'жек', 'Arg(агенс)': 'президенті', 'Arg(причина)': 'қатынастарды'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'Arg(причина)', 'V', 'O', 'O', 'Arg(агенс)', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Бастысы,', 'онда', 'көп', 'тарапты', 'және', 'халықаралық', 'қатынастарды', 'жек', 'көретін', 'АҚШ', 'президенті', 'Дональд', 'Трамп', 'алғаш', 'рет', 'қатысады.'], 'metric': 0.5}",0,"Бастысы, онда көп тарапты және халықаралық қатынастарды жек көретін АҚШ президенті Дональд Трамп алғаш рет қатысады."
